quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
3,Grooming,1778252024408,Eliot's Trailer,1,Andis AGC Super 2-Speed Clipper with T-84 Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",23330,Title: Default Title,,,,,Corro Trailer 1,144310,144310,144310,209990,0,0,
2,Grooming,1778252024408,Eliot's Trailer,1,Lucky Braids All-in-One Horse Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",2325,Size: 1 Quart,,,,,Corro Trailer 1,20000,20000,20000,30990,0,0,0.075072736
4,Supplements,1778252144213,Eliot's Trailer,1,Finish Line Apple-A-Day Electrolytes,Horse Care > Supplements > Electrolytes & Salt,2005,Size: 5 Pounds,,,,,Corro Trailer 1,11930,11930,11930,16490,0,0,0.15248352
12,Tack,1778180207021,Eliot's Trailer,1,Carr & Day & Martin Belvoir Glycerin Conditioning Soap,Tack & Equipment > Leather Care,10020,Size: 250 Milligrams,,,,,Corro Trailer 1,5450,5450,5450,9990,0,0,
8,Fly Gear,1778252234584,Eliot's Trailer,1,Farnam Bronco Equine Fly Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,100502328,Size: 1 Quart,,,,,Corro Trailer 1,5450,5450,5450,12990,0,7,
5,Fly Gear,1778252234584,Eliot's Trailer,1,Farnam Bronco Equine Fly Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,100502327,Size: 1 Gallon,,,,,Corro Trailer 1,18380,18380,18380,29970,0,0,0.011413934
20,First Aid,1778252086689,Eliot's Trailer,1,Andover CoFlex Vet Cohesive Bandages - Single Roll,Horse Care > First Aid & Wellness > First Aid Supplies,3540WH-018,Size: 4-inch x 5 Yards,Color: White,,,,Corro Trailer 1,1500,1500,1500,1990,0,0,
4,First Aid,1778252086689,Eliot's Trailer,1,Sore No-More Classic Herbal Gelotion Liniment,Horse Care > First Aid & Wellness > Liniments,AD005,Size: 1 Gallon,,,,,Corro Trailer 1,73370,73370,73370,132920,0,0,
28,First Aid,1778252086689,Eliot's Trailer,1,Andover CoFlex Vet Cohesive Bandages - Single Roll,Horse Care > First Aid & Wellness > First Aid Supplies,3540BK-018,Size: 4-inch x 5 Yards,Color: Black,,,,Corro Trailer 1,1460,1460,1460,1990,0,0,0.434476
4,First Aid,1778252086689,Eliot's Trailer,1,Absorbine CoolDown Herbal Rinse,Horse Care > First Aid & Wellness > Liniments,427870,Size: 32 Ounces,,,,,Corro Trailer 1,18530,18687,18800,24490,0,0,0.042866185
6,Grooming,1778252024408,Eliot's Trailer,1,Cowboy Magic Detangler & Shine,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",11815-2,Size: 16 Ounces,,,,,Corro Trailer 1,21080,21880,23480,28990,0,0,0.040535416
