quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
-1,,,,,DAC Oil Fat & Fatty Acid Supplement,Horse Care > Supplements > Weight Gain & Muscle,OIL38,Size: 38 Pounds,,,,,Drop Ship,114250,114250,114250,147600,0,0,
-1,,,,,Back on Track Classic Turnout Sheet,Horse Wear > Blankets & Sheets > Turnout Blankets & Sheets > Sheets,21420040,Size: 75,,,,,Drop Ship,144500,144500,144500,289000,0,0,
-2,,,,,Fortiflex 8-Quart Utility Pail,Stable > Stable Supplies > Feed & Water Buckets,N400-8-TEAL,Size: 8 Quarts,Color: Teal,,,,Drop Ship,3990,3990,3990,6990,0,0,
-3,,,,,Tough-1 1200D Waterproof Poly Snuggit Turnout Blanket,Horse Wear > Blankets & Sheets > Turnout Blankets & Sheets > Medium Weight,32-21202S-4-69,Size: 69,Color: Royal Blue,,,,Drop Ship,68880,68880,68880,99990,0,0,
-1,,,,,EquiFit D-Teq Front Boot with ImpacTeq Liner,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,01601FXXLB,Size: XX Large,Color: Black with Black Binding,,,,Drop Ship,162750,162750,162750,314000,0,0,
-1,,,,,TRM Good as Gold + MAG,Horse Care > Supplements > Calming & Focus,323465-1.5,Size: 1.5 Kilograms,,,,,Drop Ship,83200,83200,83200,129990,0,0,
-1,,,,,EquiFit Essential Dressage Girth with SmartFabric Liner,Tack & Equipment > Girths & Cinches > Dressage Girths,32964BL28,Size: 28-Inch,Color: Black,,,,Drop Ship,67000,67000,67000,134000,0,0,
-2,,,,,5/A Baker Trailer Tie,Stable > Stable Supplies > Cross Ties & Trailer Ties,7038,Title: Default Title,,,,,Drop Ship,11000,11000,11000,19990,0,0,
-1,,,,,EquiFit Essential Bell Boot with Fleece Rolled Top,Tack & Equipment > Boots & Wraps > Bell Boots,11269XLBLK,Size: Extra Large,Color: Black,,,,Drop Ship,26320,26320,26320,49000,0,0,
-1,,,,,5/A Baker Original Stable Sheet,Horse Wear > Blankets & Sheets > Stable Blankets & Sheets > Lightweight,7002-BAP-BAP-76-STD,Size: 76-Inch,,,,,Drop Ship,81000,81000,81000,145950,0,0,
