quantity,bin,binBarcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity
5,ROW 3 : LVL 2,1774281147458,Supplements 2,2,Auburn Laboratories Advanced Protection Formula Pro Muscle & Gastric Support Liquid Supplement,Horse Care > Supplements > Weight Gain & Muscle,APF-E02,Size: 12 Ounces,,,,,Wellington Warehouse,130380,130380,130380,165990,0,0,
2,ROW 3 : LVL 3,1774281614628,Grooming/Tack Cleaner,3,Andis AGC Super 2-Speed Clipper with T-84 Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",23330,Title: Default Title,,,,,Wellington Warehouse,144310,144310,144310,209990,0,0,
0,BIN-02,1767626770401,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800202,Size: Medium,Color: White,,,,Wellington Warehouse,37500,37500,37500,75000,0,0,0.014785177
0,ROW 5 : LVL 4,1769190184154,Fly sprays,4,Ecovet All-Natural Fly Repellent,Horse Care > Fly & Insect Control > Fly Sprays & Traps,011-23855,Size: 18 Ounces,,,,,Wellington Warehouse,21560,21560,21560,30990,0,0,0.041399837
3,ROW 4 : LVL 1,1774281545041,Grooming,1,eZall All-Natural Spot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",69-4072,Size: 32 Ounces,,,,,Wellington Warehouse,11200,11200,11200,19990,0,0,
0,ROW 3 : LVL 2,1774281545037,Grooming,2,Lucky Braids All-in-One Horse Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",2350,Size: 1 Gallon,,,,,Wellington Warehouse,49500,49500,49500,89950,0,0,0.014793037
0,BIN-02,1767626770401,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800003,Size: Large,Color: Black,,,,Wellington Warehouse,37500,37500,37500,75000,0,0,0.014560414
4,BIN-02,1767626770401,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800203,Size: Large,Color: White,,,,Wellington Warehouse,37500,37500,37500,75000,0,0,0.015207414
1,BIN-02,1767626770401,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800201,Size: Small,Color: White,,,,Wellington Warehouse,37500,37500,37500,75000,0,0,
1,ROW 5 : LVL 3,1769190184153,Fly sprays,3,Ecovet All-Natural Fly Repellent,Horse Care > Fly & Insect Control > Fly Sprays & Traps,ECO-003,Size: 1 Gallon,,,,,Wellington Warehouse,118240,118240,118240,165900,0,0,0.013799945
14,BIN-02,1767626770401,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800004,Size: X-Large,Color: Black,,,,Wellington Warehouse,37500,37500,37500,75000,0,0,
11,BIN-02,1767626770401,Shelf 5,2,Back on Track 3D Mesh All-purpose Splint Boots,Tack & Equipment > Boots & Wraps > Protective Boots > Front Boots,20800204,Size: X-Large,Color: White,,,,Wellington Warehouse,37500,37500,37500,75000,0,0,
24,ROW 1 : LVL 1,1767888349952,Supplements 1,1,Zoetis ANTHELCIDE EQ Broad-Spectrum Dewormer Paste,Horse Care > Supplements > Wormer,10010462,Size: 24 Grams,,,Lot #785998,2027-10-01,Wellington Warehouse,7040,7040,7040,11180,0,0,
3,ROW 5 : LVL 2,1774281422020,Supplements 3,2,Farnam Apple Elite Electrolyte Powder,Horse Care > Supplements > Electrolytes & Salt,81120,Size: 20 Pounds,,,Lot #2107280150 OR 81120,2026-08-01,Wellington Warehouse,31080,31080,31080,59990,0,0,0.1927396
0,ROW 1 : LVL 1,1774281650387,Hoof/Treats,1,3M Animalintex Poultice Pad,Horse Care > First Aid & Wellness > Poultices & Hoof Packing,1395,Size: 5.5 inches x 5.5 inches - 3 Pack,,,,,Wellington Warehouse,8680,8680,8680,14990,0,0,
9,ROW 5 : LVL 2,1774281422020,Supplements 3,2,Finish Line Apple-A-Day Electrolytes,Horse Care > Supplements > Electrolytes & Salt,2015,Size: 15 Pounds,,,,,Wellington Warehouse,27900,28083,28450,39990,0,0,0.039087992
